Game,Player,ShotsTaken,HitsTaken,AccuracyRate
949,Player 1,26,17,65.38%
949,Player 2,9,1,11.11%
950,Player 1,26,17,65.38%
950,Player 2,15,7,46.67%
951,Player 1,23,17,73.91%
951,Player 2,10,4,40.00%
952,Player 1,26,17,65.38%
952,Player 2,9,2,22.22%
953,Player 1,42,17,40.48%
953,Player 2,40,15,37.50%
954,Player 1,24,17,70.83%
954,Player 2,11,6,54.55%
955,Player 1,52,17,32.69%
955,Player 2,47,12,25.53%
956,Player 1,31,12,38.71%
956,Player 2,34,17,50.00%
957,Player 1,27,17,62.96%
957,Player 2,16,5,31.25%
958,Player 1,42,17,40.48%
958,Player 2,41,15,36.59%
959,Player 1,25,17,68.00%
959,Player 2,10,2,20.00%
960,Player 1,25,17,68.00%
960,Player 2,18,11,61.11%
961,Player 1,29,17,58.62%
961,Player 2,24,12,50.00%
962,Player 1,26,17,65.38%
962,Player 2,7,0,0.00%
963,Player 1,27,17,62.96%
963,Player 2,17,7,41.18%
964,Player 1,23,17,73.91%
964,Player 2,4,0,0.00%
965,Player 1,27,17,62.96%
965,Player 2,9,0,0.00%
966,Player 1,24,17,70.83%
966,Player 2,14,7,50.00%
967,Player 1,56,17,30.36%
967,Player 2,51,11,21.57%
968,Player 1,28,17,60.71%
968,Player 2,20,8,40.00%
969,Player 1,27,17,62.96%
969,Player 2,13,5,38.46%
970,Player 1,25,17,68.00%
970,Player 2,13,6,46.15%
971,Player 1,25,17,68.00%
971,Player 2,12,5,41.67%
972,Player 1,25,17,68.00%
972,Player 2,21,11,52.38%
973,Player 1,29,17,58.62%
973,Player 2,19,7,36.84%
974,Player 1,30,17,56.67%
974,Player 2,21,9,42.86%
975,Player 1,25,17,68.00%
975,Player 2,12,5,41.67%
976,Player 1,24,17,70.83%
976,Player 2,9,3,33.33%
977,Player 1,22,17,77.27%
977,Player 2,4,0,0.00%
978,Player 1,22,17,77.27%
978,Player 2,11,5,45.45%
979,Player 1,21,17,80.95%
979,Player 2,2,0,0.00%
980,Player 1,26,17,65.38%
980,Player 2,8,0,0.00%
981,Player 1,27,17,62.96%
981,Player 2,8,0,0.00%
982,Player 1,23,17,73.91%
982,Player 2,6,1,16.67%
983,Player 1,23,17,73.91%
983,Player 2,3,0,0.00%
984,Player 1,24,17,70.83%
984,Player 2,13,6,46.15%
985,Player 1,24,17,70.83%
985,Player 2,11,5,45.45%
986,Player 1,24,17,70.83%
986,Player 2,6,0,0.00%
987,Player 1,25,17,68.00%
987,Player 2,5,0,0.00%
988,Player 1,21,17,80.95%
988,Player 2,13,8,61.54%
989,Player 1,27,17,62.96%
989,Player 2,18,9,50.00%
990,Player 1,27,17,62.96%
990,Player 2,11,3,27.27%
991,Player 1,25,17,68.00%
991,Player 2,13,5,38.46%
992,Player 1,23,17,73.91%
992,Player 2,9,4,44.44%
993,Player 1,23,17,73.91%
993,Player 2,6,0,0.00%
994,Player 1,26,17,65.38%
994,Player 2,16,6,37.50%
995,Player 1,25,17,68.00%
995,Player 2,7,3,42.86%
996,Player 1,25,17,68.00%
996,Player 2,6,1,16.67%
997,Player 1,24,17,70.83%
997,Player 2,10,3,30.00%
998,Player 1,22,17,77.27%
998,Player 2,3,0,0.00%
999,Player 1,27,17,62.96%
999,Player 2,6,0,0.00%
1000,Player 1,26,17,65.38%
1000,Player 2,10,3,30.00%
