Game,Player,MaxConsecutiveHits
459,Player 1,6
459,Player 2,3
460,Player 1,3
460,Player 2,4
461,Player 1,13
461,Player 2,0
462,Player 1,6
462,Player 2,0
463,Player 1,10
463,Player 2,0
464,Player 1,6
464,Player 2,0
465,Player 1,5
465,Player 2,2
466,Player 1,5
466,Player 2,0
467,Player 1,6
467,Player 2,0
468,Player 1,7
468,Player 2,0
469,Player 1,7
469,Player 2,5
470,Player 1,5
470,Player 2,4
471,Player 1,5
471,Player 2,0
472,Player 1,5
472,Player 2,1
473,Player 1,5
473,Player 2,4
474,Player 1,5
474,Player 2,0
475,Player 1,10
475,Player 2,0
476,Player 1,9
476,Player 2,1
477,Player 1,7
477,Player 2,1
478,Player 1,6
478,Player 2,3
479,Player 1,4
479,Player 2,1
480,Player 1,5
480,Player 2,3
481,Player 1,8
481,Player 2,4
482,Player 1,14
482,Player 2,0
483,Player 1,6
483,Player 2,2
484,Player 1,5
484,Player 2,1
485,Player 1,4
485,Player 2,5
486,Player 1,6
486,Player 2,0
487,Player 1,5
487,Player 2,4
488,Player 1,5
488,Player 2,0
489,Player 1,1
489,Player 2,4
490,Player 1,8
490,Player 2,0
491,Player 1,5
491,Player 2,2
492,Player 1,4
492,Player 2,1
493,Player 1,9
493,Player 2,1
494,Player 1,6
494,Player 2,6
495,Player 1,7
495,Player 2,3
496,Player 1,3
496,Player 2,0
497,Player 1,5
497,Player 2,2
498,Player 1,7
498,Player 2,2
499,Player 1,4
499,Player 2,0
500,Player 1,5
500,Player 2,4
501,Player 1,5
501,Player 2,2
502,Player 1,1
502,Player 2,3
503,Player 1,4
503,Player 2,3
504,Player 1,4
504,Player 2,2
505,Player 1,6
505,Player 2,0
506,Player 1,6
506,Player 2,0
507,Player 1,10
507,Player 2,0
508,Player 1,7
508,Player 2,4
509,Player 1,7
509,Player 2,3
510,Player 1,9
510,Player 2,0
511,Player 1,6
511,Player 2,0
512,Player 1,4
512,Player 2,3
513,Player 1,1
513,Player 2,5
514,Player 1,4
514,Player 2,0
515,Player 1,5
515,Player 2,1
516,Player 1,10
516,Player 2,4
517,Player 1,6
517,Player 2,0
518,Player 1,7
518,Player 2,1
519,Player 1,6
519,Player 2,0
520,Player 1,4
520,Player 2,4
521,Player 1,6
521,Player 2,5
522,Player 1,6
522,Player 2,5
523,Player 1,5
523,Player 2,4
524,Player 1,9
524,Player 2,1
525,Player 1,5
525,Player 2,1
526,Player 1,5
526,Player 2,0
527,Player 1,3
527,Player 2,0
528,Player 1,10
528,Player 2,0
529,Player 1,10
529,Player 2,0
530,Player 1,4
530,Player 2,3
531,Player 1,6
531,Player 2,1
532,Player 1,7
532,Player 2,5
533,Player 1,7
533,Player 2,0
534,Player 1,1
534,Player 2,3
535,Player 1,6
535,Player 2,4
536,Player 1,7
536,Player 2,0
537,Player 1,1
537,Player 2,3
538,Player 1,4
538,Player 2,4
539,Player 1,4
539,Player 2,5
540,Player 1,10
540,Player 2,0
541,Player 1,4
541,Player 2,0
542,Player 1,4
542,Player 2,3
543,Player 1,4
543,Player 2,2
544,Player 1,4
544,Player 2,2
545,Player 1,9
545,Player 2,2
546,Player 1,6
546,Player 2,4
547,Player 1,7
547,Player 2,1
548,Player 1,6
548,Player 2,4
549,Player 1,5
549,Player 2,5
550,Player 1,8
550,Player 2,0
551,Player 1,6
551,Player 2,4
552,Player 1,5
552,Player 2,5
553,Player 1,6
553,Player 2,1
554,Player 1,7
554,Player 2,4
555,Player 1,7
555,Player 2,0
556,Player 1,5
556,Player 2,4
557,Player 1,7
557,Player 2,0
558,Player 1,5
558,Player 2,0
559,Player 1,11
559,Player 2,2
560,Player 1,5
560,Player 2,4
561,Player 1,8
561,Player 2,4
562,Player 1,1
562,Player 2,4
563,Player 1,8
563,Player 2,4
564,Player 1,4
564,Player 2,2
565,Player 1,8
565,Player 2,0
566,Player 1,4
566,Player 2,2
567,Player 1,7
567,Player 2,1
568,Player 1,11
568,Player 2,0
569,Player 1,6
569,Player 2,0
570,Player 1,4
570,Player 2,4
571,Player 1,7
571,Player 2,2
572,Player 1,6
572,Player 2,3
573,Player 1,3
573,Player 2,4
574,Player 1,4
574,Player 2,3
575,Player 1,5
575,Player 2,3
576,Player 1,6
576,Player 2,0
577,Player 1,5
577,Player 2,0
578,Player 1,8
578,Player 2,0
579,Player 1,4
579,Player 2,4
580,Player 1,6
580,Player 2,0
581,Player 1,8
581,Player 2,8
582,Player 1,5
582,Player 2,5
583,Player 1,6
583,Player 2,2
584,Player 1,6
584,Player 2,3
585,Player 1,6
585,Player 2,4
586,Player 1,3
586,Player 2,0
587,Player 1,4
587,Player 2,4
588,Player 1,8
588,Player 2,0
589,Player 1,5
589,Player 2,0
590,Player 1,6
590,Player 2,5
591,Player 1,14
591,Player 2,0
592,Player 1,5
592,Player 2,3
593,Player 1,4
593,Player 2,0
594,Player 1,7
594,Player 2,2
595,Player 1,6
595,Player 2,2
596,Player 1,7
596,Player 2,3
597,Player 1,5
597,Player 2,1
598,Player 1,5
598,Player 2,3
599,Player 1,6
599,Player 2,1
600,Player 1,7
600,Player 2,0
601,Player 1,6
601,Player 2,2
602,Player 1,4
602,Player 2,1
603,Player 1,5
603,Player 2,2
604,Player 1,6
604,Player 2,1
605,Player 1,5
605,Player 2,3
606,Player 1,7
606,Player 2,1
607,Player 1,4
607,Player 2,3
608,Player 1,12
608,Player 2,0
609,Player 1,5
609,Player 2,3
610,Player 1,3
610,Player 2,2
611,Player 1,3
611,Player 2,1
612,Player 1,2
612,Player 2,3
613,Player 1,5
613,Player 2,4
614,Player 1,1
614,Player 2,5
615,Player 1,5
615,Player 2,1
616,Player 1,7
616,Player 2,4
617,Player 1,2
617,Player 2,7
618,Player 1,5
618,Player 2,2
619,Player 1,4
619,Player 2,1
620,Player 1,5
620,Player 2,0
621,Player 1,5
621,Player 2,5
622,Player 1,5
622,Player 2,3
623,Player 1,5
623,Player 2,4
624,Player 1,7
624,Player 2,5
625,Player 1,4
625,Player 2,1
626,Player 1,7
626,Player 2,2
627,Player 1,8
627,Player 2,0
628,Player 1,4
628,Player 2,4
629,Player 1,4
629,Player 2,1
630,Player 1,4
630,Player 2,5
631,Player 1,5
631,Player 2,0
632,Player 1,6
632,Player 2,3
633,Player 1,6
633,Player 2,3
634,Player 1,5
634,Player 2,0
635,Player 1,6
635,Player 2,5
636,Player 1,9
636,Player 2,1
637,Player 1,7
637,Player 2,0
638,Player 1,4
638,Player 2,3
639,Player 1,10
639,Player 2,4
640,Player 1,9
640,Player 2,0
641,Player 1,9
641,Player 2,5
642,Player 1,3
642,Player 2,5
643,Player 1,5
643,Player 2,0
644,Player 1,7
644,Player 2,0
645,Player 1,5
645,Player 2,2
646,Player 1,7
646,Player 2,0
647,Player 1,3
647,Player 2,0
648,Player 1,7
648,Player 2,0
649,Player 1,5
649,Player 2,1
650,Player 1,6
650,Player 2,3
651,Player 1,10
651,Player 2,3
652,Player 1,7
652,Player 2,1
653,Player 1,10
653,Player 2,2
654,Player 1,6
654,Player 2,3
655,Player 1,7
655,Player 2,0
656,Player 1,6
656,Player 2,0
657,Player 1,4
